ID,Variable 1,Dependency,Variable 2
674,Event_TSE_CornerHead_HT,->,Event_TSE_HT
675,Event_TSE_InexpDef_HT,->,Event_TSE_HT
676,Event_TSE_ExperienceFwd_HT,->,Event_TSE_HT
677,Event_TSE_Corner_Goal_HT,->,Event_TSE_HT
678,Event_PSE_Goal_HT,->,Event_SE_Goal_HT
679,Event_PSE_HT,->,Event_SE_Goal_HT
680,Event_TSE_Goal_HT,->,Event_SE_Goal_HT
681,Event_PSE_AT,->,Event_SE_Goal_AT
682,Event_PSE_Goal_AT,->,Event_SE_Goal_AT
683,Event_TSE_Goal_AT,->,Event_SE_Goal_AT
684,Event_CA_Goal_AT,->,Goals_AT
685,Event_Normal_Goal_AT,->,Goals_AT
686,Event_SE_Goal_AT,->,Goals_AT
687,Event_SEZ_PNF_Goal_AT,->,Goals_AT
688,Event_PSE_OwnGoal_HT,->,Goals_AT
689,Event_PSE_OwnGoal_AT,->,Goals_HT
690,Event_SEZ_PNF_Goal_HT,->,Goals_HT
691,Event_SE_Goal_HT,->,Goals_HT
692,Event_Normal_Goal_HT,->,Goals_HT
693,Event_CA_Goal_HT,->,Goals_HT
694,Goals_HT,->,HDA
695,Goals_AT,->,HDA
